Item ID,Item Name,HSN/SAC,Is Tax Calculated on Label Price,Description,Rate,Account,Account Code,Taxable,Exemption Reason,Taxability Type,Product Type,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Vendor,Item Type,Sellable,Purchasable,Track Inventory
2761566000000032544,Wiring & PVC casing/conduit fixing,995461,FALSE,,INR 32.00,Sales,,true,,,service,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Inactive,sqf,,INR 0.00,,,,,Sales,true,false,false
2761566000000079003,SHEARING MACHINE,,FALSE,,INR 0.00,,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Inactive,pcs,Pieces,INR 258000.00,Cost of Goods Sold,,"SHEARING MACHINE
 (4-EDGED BLADE OF HC - HCr STEEL MATERIAL)
MODEL NO. :- HSUG-3
 CAPACITY :- 1270 X 2 MM (M.S) 
STANDARD ACCESSORIES :     
MOTOR PULLY,  MOTOR PLET, GEAR & WHEEL GUARD, OIL GREASE CUPS, WITH GUN METAL BUSHING, WITH MANUALLY LUBRICATION PUMP .
 •  ELECTRICAL  :-  3 HP CROMPTON BRAND 3 PHASE (IE2) POWER SAVER MOTOR - 1440 RPM, 1 NOS STARTER , 2 NOS (ISI CERTIFIED) V-BELT.",,Purchases,false,true,false
2761566000000079014,FULLY STEEL BODY C TYPE 10 TON CAPACITY SINGLE,,FALSE,,INR 0.00,,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Inactive,pcs,Pieces,INR 99000.00,Cost of Goods Sold,,"FULLY STEEL BODY C TYPE 10 TON CAPACITY SINGLE
GEARED HEAVY DUTY, ADJUSTABLE STROKE POWER PRESS MACHINE. WITH KNOCKOUT SYSTEM, COMPLETE WITH ALL STANDARD ACCESSORIES.
 CAPACITY IN TON :- 10 TON 
 • STANDARD ACCESSORIES :   
MOTOR PULLY, SCREW SPENER, MOTOR PLET, GEAR & WHEEL GUARD, OIL GREASE CUPS, WITH GUN METAL BUSHING.
•  ELECTRICAL  :-  1 HP CROMPTON BRAND 3 PHASE (IE2) POWER SAVER MOTOR - 1440 RPM, 1 NOS RF SWITCH, 1 NOS  (ISI CERTIFIED) V-BELT.",,Purchases,false,true,false
2761566000000079025,FULLY STEEL BODY C TYPE 20 TON CAPACITY DOUBLE,,FALSE,,INR 0.00,,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Inactive,pcs,Pieces,INR 175000.00,Cost of Goods Sold,,"FULLY STEEL BODY C TYPE 20 TON CAPACITY DOUBLE
 GEARED HEAVY DUTY, ADJUSTABLE STROKE POWER PRESS MACHINE. WITH KNOCKOUT SYSTEM, COMPLETE WITH ALL STANDARD ACCESSORIES.
CAPACITY IN TON :- 20 TON 
 STANDARD ACCESSORIES :     
MOTOR PULLY, SCREW SPENER, MOTOR PLET, GEAR & WHEEL GUARD, OIL GREASE CUPS, WITH GUN METAL BUSHING.
•  ELECTRICAL  :-  2 HP CROMPTON BRAND 3 PHASE (IE2)  POWER SAVER MOTOR - 1440 RPM, 1 NOS RF SWITCH, 2 NOS (ISI CERTIFIED) V-BELT.",,Purchases,false,true,false
2761566000000079038,MODULAR BOX DIES,,FALSE,,INR 0.00,,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Inactive,sets,,INR 350000.00,Cost of Goods Sold,,"MODULAR BOX DIE 
2 Module Box
3 Module Box 
4 Module Box 
6 Module Box 
8 Module Box (Horizontal) 
8 Module Box (Square)
12 Module Box 
16 Module Box 
18 Module Box ",,Purchases,false,true,false
2761566000000123113,"Paddy Straw(Parali), sugarcan",1213,FALSE,,INR 0.70,Sales,,false,GSTMARGINSCHEME,,goods,,,,,,,1,,,Inactive,kg,Kilograms,INR 0.50,Cost of Goods Sold,,,,Sales and Purchases,true,true,false
2761566000000200003,GREAVES LUBE OIL- 20 LTR,27101980,FALSE,,INR 11248.31,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,,INR 10429.66,Materials,,,,Sales and Purchases,true,true,false
2761566000000200008,LUB OIL 10 LTR,27101980,FALSE,,INR 5627.12,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,,INR 5222.00,Materials,,,,Sales and Purchases,true,true,false
2761566000000200017,L.O.FLTR+ELEMENT V8/V6,84212300,FALSE,,INR 420.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,,INR 381.36,Materials,,,,Sales and Purchases,true,true,false
2761566000000200029,Pre -Fuel filter,78060010,FALSE,,INR 225.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,nos,,INR 221.19,Materials,,,,Sales and Purchases,true,true,false
